Date,T5YIE,FEDFUNDS,SP500,EUR=X,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
28-May-19,1.58,2.39,2802.39,0.8933500051498413,53.25,48.18999862670898,60.97999954223633,26.549999237060547,73.0999984741211,73.08999633789062,56.58000183105469,36.369998931884766,58.84999847412109,88.27999877929688,112.68000030517578
29-May-19,1.59,2.39,2783.02,0.8952000141143799,53.2599983215332,47.720001220703125,60.59000015258789,26.5,72.7699966430664,72.66000366210938,56.16999816894531,35.95000076293945,58.06999969482422,87.43000030517578,111.68000030517578
30-May-19,1.59,2.39,2788.86,0.8978800177574158,53.34999847412109,47.83000183105469,59.81999969482422,26.40999984741211,73.05000305175781,73.11000061035156,56.40999984741211,36.16999816894531,57.97999954223633,87.91000366210938,112.41000366210938
31-May-19,1.58,2.39,2752.06,0.8983799815177917,52.75,47.09000015258789,58.77000045776367,26.01000022888184,72.05000305175781,71.88999938964844,55.61000061035156,36.470001220703125,58.25,87.27999877929688,110.94000244140624
01-Jun-19,1.58,2.38,2752.06,0.8983799815177917,52.75,47.09000015258789,58.77000045776367,26.01000022888184,72.05000305175781,71.88999938964844,55.61000061035156,36.470001220703125,58.25,87.27999877929688,110.94000244140624
02-Jun-19,1.58,2.38,2752.06,0.8983799815177917,52.75,47.09000015258789,58.77000045776367,26.01000022888184,72.05000305175781,71.88999938964844,55.61000061035156,36.470001220703125,58.25,87.27999877929688,110.94000244140624
03-Jun-19,1.56,2.38,2744.45,0.8949300050735474,54.40999984741211,45.61000061035156,59.52000045776367,26.18000030517578,72.54000091552734,70.62999725341797,56.310001373291016,36.61000061035156,58.83000183105469,87.48999786376953,110.01000213623048
04-Jun-19,1.59,2.38,2803.27,0.8891800045967102,55.93999862670898,46.59000015258789,60.54999923706055,26.88999938964844,74.2699966430664,72.98999786376953,56.81999969482422,36.40999984741211,58.880001068115234,88.94000244140625,112.98999786376952
05-Jun-19,1.59,2.38,2826.15,0.8885700106620789,56.34999847412109,46.61000061035156,59.880001068115234,27.059999465942383,74.98999786376953,73.94000244140625,57.470001220703125,37.2400016784668,60.13999938964844,89.61000061035156,113.5500030517578
06-Jun-19,1.58,2.38,2843.49,0.8905500173568726,57.02000045776367,46.810001373291016,60.9900016784668,27.15999984741211,75.12000274658203,74.80000305175781,58.06999969482422,37.310001373291016,60.5099983215332,90.06999969482422,114.12999725341795
07-Jun-19,1.61,2.38,2873.34,0.8867999911308289,57.52999877929688,47.56999969482422,61.27000045776367,27.1200008392334,75.72000122070312,76.19000244140625,58.630001068115234,37.43000030517578,60.060001373291016,91.01000213623048,115.77999877929688
08-Jun-19,1.61,2.38,2873.34,0.8867999911308289,57.52999877929688,47.56999969482422,61.27000045776367,27.1200008392334,75.72000122070312,76.19000244140625,58.630001068115234,37.43000030517578,60.060001373291016,91.01000213623048,115.77999877929688
09-Jun-19,1.61,2.38,2873.34,0.8867999911308289,57.52999877929688,47.56999969482422,61.27000045776367,27.1200008392334,75.72000122070312,76.19000244140625,58.630001068115234,37.43000030517578,60.060001373291016,91.01000213623048,115.77999877929688
10-Jun-19,1.6,2.38,2886.73,0.8833799958229065,57.630001068115234,47.52999877929688,61.45000076293945,27.350000381469727,75.81999969482422,76.97000122070312,58.650001525878906,37.29999923706055,59.650001525878906,91.27999877929688,116.76000213623048
11-Jun-19,1.57,2.38,2885.72,0.8835399746894836,57.59000015258789,47.72999954223633,61.56999969482422,27.36000061035156,75.16999816894531,76.97000122070312,58.84000015258789,37.369998931884766,59.290000915527344,91.12999725341795,117.20999908447266
12-Jun-19,1.53,2.38,2879.84,0.8826500177383423,57.77999877929688,47.5,60.70000076293945,27.09000015258789,75.33000183105469,76.54000091552734,58.93000030517578,37.5099983215332,60.060001373291016,91.56999969482422,117.18000030517578
13-Jun-19,1.51,2.38,2891.64,0.8852999806404114,58.119998931884766,48.02999877929688,61.40999984741211,27.18000030517578,75.70999908447266,76.7699966430664,59.060001373291016,37.560001373291016,60.18000030517578,91.45999908447266,118.2300033569336
14-Jun-19,1.48,2.38,2886.98,0.886489987373352,57.869998931884766,48.119998931884766,61.0099983215332,27.239999771118164,75.41000366210938,76.0999984741211,59.09000015258789,37.720001220703125,60.810001373291016,91.25,118.48999786376952
15-Jun-19,1.48,2.38,2886.98,0.886489987373352,57.869998931884766,48.119998931884766,61.0099983215332,27.239999771118164,75.41000366210938,76.0999984741211,59.09000015258789,37.720001220703125,60.810001373291016,91.25,118.48999786376952
16-Jun-19,1.48,2.38,2886.98,0.886489987373352,57.869998931884766,48.119998931884766,61.0099983215332,27.239999771118164,75.41000366210938,76.0999984741211,59.09000015258789,37.720001220703125,60.810001373291016,91.25,118.48999786376952
17-Jun-19,1.45,2.38,2889.67,0.8914999961853027,57.34000015258789,48.66999816894531,61.52000045776367,26.989999771118164,75.1500015258789,76.16000366210938,58.91999816894531,38.130001068115234,60.63999938964844,91.66000366210938,118.54000091552734
18-Jun-19,1.49,2.38,2917.75,0.8909000158309937,57.790000915527344,48.93999862670898,62.369998931884766,27.350000381469727,76.61000061035156,77.54000091552734,58.59999847412109,38.02000045776367,60.38999938964844,92.44000244140624,119.44000244140624
19-Jun-19,1.53,2.38,2926.46,0.8930000066757202,57.470001220703125,49.0,62.29999923706055,27.299999237060547,76.55000305175781,77.81999969482422,58.84000015258789,38.27000045776367,60.84999847412109,93.2699966430664,119.66000366210938
20-Jun-19,1.58,2.38,2954.18,0.8898000121116638,58.20000076293945,49.310001373291016,63.68000030517578,27.420000076293945,77.83000183105469,78.95999908447266,59.36000061035156,38.5,61.2400016784668,93.68000030517578,120.48999786376952
21-Jun-19,1.6,2.38,2950.46,0.8852999806404114,57.66999816894531,49.400001525878906,63.560001373291016,27.21999931335449,77.08000183105469,78.30999755859375,58.720001220703125,37.77000045776367,60.9900016784668,93.7300033569336,119.5199966430664
22-Jun-19,1.6,2.38,2950.46,0.8852999806404114,57.66999816894531,49.400001525878906,63.560001373291016,27.21999931335449,77.08000183105469,78.30999755859375,58.720001220703125,37.77000045776367,60.9900016784668,93.7300033569336,119.5199966430664
23-Jun-19,1.6,2.38,2950.46,0.8852999806404114,57.66999816894531,49.400001525878906,63.560001373291016,27.21999931335449,77.08000183105469,78.30999755859375,58.720001220703125,37.77000045776367,60.9900016784668,93.7300033569336,119.5199966430664
24-Jun-19,1.57,2.38,2945.35,0.8783699870109558,57.88999938964844,49.52000045776367,62.9900016784668,27.11000061035156,76.93000030517578,78.45999908447266,58.869998931884766,37.58000183105469,61.0099983215332,93.23999786376952,118.87999725341795
25-Jun-19,1.52,2.38,2917.38,0.8771700263023376,57.91999816894531,48.59999847412109,62.4900016784668,27.020000457763672,76.3499984741211,77.0199966430664,58.84000015258789,37.06999969482422,60.63999938964844,92.86000061035156,117.73999786376952
