Date,Sentiment Score,Open,High,Low,Close,Volume,RSI,MACD,MACD Signal,Forward PE,T5YIE,FEDFUNDS,SP500,EUR=X,XLK,Next Day High
2018-06-19,9.894371e-06,46.28499984741211,46.58250045776367,45.86249923706055,46.42250061035156,134314000.0,51.77640596879131,0.3642388607658517,0.6340539021565084,26.602118,2762.59,0.859790027141571,58.4900016784668,49.959999084472656,31.5,46.79999923706055
2018-06-20,-1.180172e-05,46.587501525878906,46.79999923706055,46.432498931884766,46.625,82514800.0,53.80522050062774,0.2774215855113198,0.5627274388274707,26.602118,2.06,0.859790027141571,2767.32,0.8629199862480164,71.58000183105469,47.087501525878906
2018-06-21,0.0,46.8125,47.087501525878906,46.23500061035156,46.3650016784668,102847600.0,50.847327799479615,0.1855002463661037,0.4872820003351973,26.602118,2.05,0.859790027141571,2749.76,0.8636299967765808,71.02999877929688,46.53749847412109
2018-06-22,0.0,46.52999877929688,46.53749847412109,46.17499923706055,46.22999954223633,108801600.0,49.33086584818116,0.1005987390588316,0.4099453480799241,26.602118,2.07,0.859790027141571,2754.88,0.8616399765014648,70.80000305175781,46.53749847412109
2018-06-23,0.0,46.52999877929688,46.53749847412109,46.17499923706055,46.22999954223633,108801600.0,49.33086584818116,0.1005987390588316,0.4099453480799241,26.602118,2.07,0.859790027141571,2754.88,0.8616399765014648,70.80000305175781,46.53749847412109
2018-06-24,-0.0017108321,46.52999877929688,46.53749847412109,46.17499923706055,46.22999954223633,108801600.0,49.33086584818116,0.1005987390588316,0.4099453480799241,26.602118,2.07,0.859790027141571,2754.88,0.8616399765014648,70.80000305175781,46.22999954223633
2018-06-25,0.0,45.84999847412109,46.22999954223633,45.182498931884766,45.54249954223633,126652400.0,42.39645356671392,-0.0219092651170527,0.3235744254405288,26.602118,2.06,0.859790027141571,2717.07,0.8575299978256226,69.33000183105469,46.63249969482422
2018-06-26,-5.364418e-07,45.747501373291016,46.63249969482422,45.6349983215332,46.10749816894531,98276800.0,48.76991510410196,-0.0725705259149123,0.2443454351694405,26.602118,2.07,0.859790027141571,2723.06,0.8544999957084656,69.61000061035156,46.81999969482422
2018-06-27,0.0,46.307498931884766,46.81999969482422,46.00749969482422,46.040000915527344,101141200.0,48.085431488768734,-0.1168197786540972,0.172112392404733,26.602118,2.07,0.859790027141571,2699.63,0.8583499789237976,68.66000366210938,46.5525016784668
2018-06-28,-1.847744e-06,46.025001525878906,46.5525016784668,45.95000076293945,46.375,69460800.0,51.70809190071806,-0.1234331433931998,0.1130032852451464,26.602118,2.07,0.859790027141571,2716.31,0.8647800087928772,69.5,46.79750061035156
2018-06-29,0.0,46.5724983215332,46.79750061035156,45.727500915527344,46.27750015258789,90950800.0,50.60135217739953,-0.1349856746103483,0.0634054932740474,26.602118,2.06,0.859790027141571,2718.37,0.8648300170898438,69.47000122070312,46.79750061035156
